amt,fytd,comp_per_pfy,fy,month,rec,outlay,source_func_parent
3681.0,33988.0,35102.0,2015,09,False,True,Natural Resources and Environment
-1233.0,20229.0,26118.0,2015,09,False,True,Agriculture
-15905.0,-38335.0,-95319.0,2015,09,False,True,Commerce and Housing Credit
10852.0,90041.0,91497.0,2015,09,False,True,Transportation
1987.0,21649.0,21557.0,2015,09,False,True,Community and Regional Development
11697.0,120376.0,89353.0,2015,09,False,True,"Education, Training, Employment, and Social Services"
37973.0,482153.0,409402.0,2015,09,False,True,Health
45089.0,546203.0,511691.0,2015,09,False,True,Medicare
36116.0,509429.0,513929.0,2015,09,False,True,Income Security
74591.0,887771.0,850535.0,2015,09,False,True,Social Security
14051.0,159739.0,149617.0,2015,09,False,True,Veterans Benefits and Services
4649.0,53582.0,52354.0,2015,09,False,True,Administration of Justice
3156.0,16917.0,22794.0,2015,09,False,True,General Government
-11344.0,223336.0,227514.0,2015,09,False,True,Net Interest
-5975.0,-115803.0,-88042.0,2015,09,False,True,Undistributed Offsetting Receipts
274412.0,3687622.0,3503732.0,2015,09,False,True,Total
,,,2015,09,False,True,Note: Details may not add to totals due to rounding.
-91061.0,0.0,0.0,20hl,nt,False,False,Deficit
0.0,438899.0,0.0,20hl,nt,False,False,Deficit
102625.0,1379255.0,1233274.0,2015,08,True,False,Individual Income Taxes
2319.0,268387.0,247200.0,2015,08,True,False,Corporation Income Taxes
77422.0,923185.0,883619.0,2015,08,True,False,Social Insurance and Retirement Receipts
5387.0,50969.0,54591.0,2015,08,True,False,Social Insurance and Retirement Receipts
318.0,3347.0,3155.0,2015,08,True,False,Social Insurance and Retirement Receipts
7766.0,74732.0,73051.0,2015,08,True,False,Excise Taxes
1265.0,17687.0,17702.0,2015,08,True,False,Estate and Gift Taxes
1908.0,31843.0,30902.0,2015,08,True,False,Customs Duties
11827.0,133845.0,125633.0,2015,08,True,False,Miscellaneous Receipts
210837.0,2883250.0,2669126.0,2015,08,True,False,Total
40441.0,536294.0,555377.0,2015,08,False,True,National Defense
3376.0,42521.0,41122.0,2015,08,False,True,International Affairs
2553.0,26616.0,25800.0,2015,08,False,True,"General Science, Space, and Technology"
-249.0,5891.0,4250.0,2015,08,False,True,Energy
